Position,"Track Name",Artist,Streams,URL
76,"Nuestra Canción","Monsieur Periné",1126303,https://open.spotify.com/track/5reQI13tWWYDLMrGcUF4Mk
77,"lovely (with Khalid)","Billie Eilish",1125518,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
78,"Don't Start Now","Dua Lipa",1125400,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
79,"Let Somebody Go",Coldplay,1122626,https://open.spotify.com/track/4cGqn0E8JCSY9gQllQj4Mf
80,"Mood (feat. iann dior)",24kGoldn,1119963,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
81,"AM Remix","Nio Garcia",1116486,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
82,"You Right","Doja Cat",1110589,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
83,París,Ingratax,1109207,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
84,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1106702,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
85,"edamame (feat. Rich Brian)",bbno$,1092508,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
86,happier,"Olivia Rodrigo",1081702,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
87,"family ties (with Kendrick Lamar)","Baby Keem",1071542,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
88,Acapulco,"Jason Derulo",1059606,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
89,"Girls Want Girls (with Lil Baby)",Drake,1058025,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
90,"Permission to Dance",BTS,1051480,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
91,Freaks,"Surf Curse",1045957,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
92,Hurricane,"Kanye West",1031810,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF
93,"Jugaste y Sufrí","Eslabon Armado",1029246,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
94,"I GUESS I'M IN LOVE","Clinton Kane",1023149,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
95,"Save Your Tears","The Weeknd",1020765,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
